Car_ID,Brand,Model,Variant,Body_Type,Year,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Engine_CC,Power_BHP,Torque_Nm,Mileage_kmpl,Color,Airbags,Insurance_Type,Service_History,Registration_Type,Previous_Accidents,State,City,Is_Metro_City,Price_Lakhs
21,Ford,Endeavour,Mid,SUV,2006,19,268709,Petrol,Automatic,First Owner,7,1369,88.6,119.7,18.6,White,3,Comprehensive,Full Service History,Individual,1,Madhya Pradesh,Bhopal,0,1.34
22,Mercedes,C-Class,Mid,Sedan,2016,9,119292,Petrol,Manual,First Owner,5,2465,185.9,285.0,13.9,White,8,Third Party,Partial Service History,Individual,0,Telangana,Hyderabad,1,17.31
23,Hyundai,Creta,Mid,SUV,2011,14,256749,Diesel,Automatic,First Owner,5,1291,79.4,110.3,22.4,White,1,Comprehensive,Full Service History,Individual,0,Punjab,Ludhiana,0,1.41
24,Toyota,Glanza,Base,Hatchback,2010,15,163728,Petrol,Manual,First Owner,5,1556,123.8,173.1,20.6,Red,4,Comprehensive,Partial Service History,Individual,0,Rajasthan,Udaipur,0,1.87
25,BMW,X1,Top,SUV,2010,15,190540,Petrol,Automatic,Third Owner,7,1953,127.9,200.0,15.2,Grey,3,Third Party,Full Service History,Individual,0,Rajasthan,Jaipur,0,7.94
26,Hyundai,Aura,Base,Sedan,2011,14,170400,Diesel,Manual,Second Owner,5,1063,83.4,113.0,16.7,Blue,3,Third Party,Partial Service History,Individual,0,West Bengal,Kolkata,1,1.1
27,Toyota,Glanza,Base,Hatchback,2006,19,277028,Diesel,Manual,First Owner,5,1617,131.0,176.1,20.3,Grey,4,Comprehensive,Full Service History,Individual,0,Gujarat,Surat,0,1.28
28,Mahindra,Scorpio,Mid,SUV,2015,10,114978,LPG,Manual,Third Owner,5,1688,139.4,198.3,15.3,Brown,7,Third Party,Full Service History,Individual,1,Maharashtra,Nagpur,0,2.26
29,Volkswagen,Taigun,Top,SUV,2014,11,89590,Diesel,Manual,Second Owner,5,1614,135.7,185.5,16.7,Silver,3,Comprehensive,Full Service History,Company,0,Kerala,Trivandrum,0,4.14
30,Honda,Amaze,Base,Sedan,2021,4,26879,Diesel,Manual,Second Owner,5,1442,114.5,150.0,21.1,Silver,4,Third Party,Partial Service History,Individual,0,Karnataka,Bangalore,1,7.41
31,Hyundai,Santro,Limited Edition,Hatchback,2023,2,21313,Diesel,Manual,Third Owner,5,1291,84.6,134.4,17.8,Brown,3,Comprehensive,Partial Service History,Individual,0,Gujarat,Ahmedabad,0,6.01
32,Honda,Jazz,Mid,Hatchback,2010,15,268907,Diesel,Automatic,Second Owner,5,1702,104.3,157.6,23.5,Brown,5,Third Party,No Record,Company,0,West Bengal,Kolkata,1,1.93
33,Renault,Duster,Top,SUV,2017,8,112313,Petrol,Manual,Second Owner,5,1315,106.8,159.0,17.0,Silver,2,Comprehensive,Full Service History,Company,0,Uttar Pradesh,Noida,0,3.03
34,Honda,Jazz,Top,Hatchback,2022,3,32249,CNG,Manual,First Owner,5,1825,113.1,169.7,30.0,Grey,2,Comprehensive,Full Service History,Individual,0,Telangana,Hyderabad,1,11.42
35,Renault,Duster,Base,SUV,2005,20,262894,Diesel,Manual,First Owner,5,801,60.7,89.6,21.7,White,3,Third Party,Full Service History,Company,0,West Bengal,Kolkata,1,0.61
36,Kia,Carens,Mid,MUV,2010,15,176339,Diesel,Manual,Third Owner,7,1426,116.6,153.6,16.7,Brown,2,Third Party,Partial Service History,Company,1,Madhya Pradesh,Bhopal,0,1.68
37,Mahindra,Scorpio,Top,SUV,2008,17,162102,Diesel,Automatic,First Owner,5,1863,152.9,236.5,14.8,Silver,4,Third Party,Full Service History,Individual,0,Madhya Pradesh,Bhopal,0,2.71
38,Tata,Nexon,Top,SUV,2017,8,125645,Electric,Manual,Second Owner,5,1089,72.2,98.4,7.0,White,1,Comprehensive,Full Service History,Individual,0,West Bengal,Kolkata,1,3.85
39,Toyota,Glanza,Base,Hatchback,2006,19,222276,Petrol,Automatic,First Owner,5,1310,98.4,156.1,20.6,Grey,3,Third Party,No Record,Individual,0,Delhi,Delhi,1,1.28
40,Tata,Nexon,Base,SUV,2006,19,164300,Petrol,Manual,Third Owner,5,968,80.7,115.1,15.7,Grey,1,Comprehensive,No Record,Individual,0,Tamil Nadu,Chennai,1,0.61
41,Honda,Amaze,Limited Edition,Sedan,2019,6,71056,Petrol,Automatic,First Owner,5,1451,99.8,133.2,19.0,Blue,3,Third Party,Full Service History,Company,3,Telangana,Hyderabad,1,7.46
42,Tata,Punch,Mid,SUV,2011,14,218680,CNG,Manual,First Owner,7,1115,78.9,122.8,22.3,Black,4,Comprehensive,Partial Service History,Individual,0,Delhi,Delhi,1,1.13
43,Volkswagen,Vento,Top,Sedan,2019,6,88096,Diesel,Automatic,Second Owner,5,1159,87.1,125.5,21.3,Brown,4,Comprehensive,Partial Service History,Individual,1,West Bengal,Kolkata,1,7.37
44,Renault,Duster,Mid,SUV,2015,10,106267,Diesel,Manual,Fourth & Above Owner,5,1074,80.5,112.3,16.6,White,3,Comprehensive,Full Service History,Company,0,Uttar Pradesh,Lucknow,0,1.93
45,Honda,Jazz,Top,Hatchback,2016,9,105232,Petrol,Automatic,First Owner,5,1689,115.1,166.8,14.8,White,4,Third Party,Full Service History,Individual,0,Delhi,Delhi,1,5.71
46,Skoda,Octavia,Base,Sedan,2014,11,150921,Petrol,Manual,First Owner,5,1772,128.2,178.3,15.3,White,4,Third Party,Partial Service History,Company,0,Punjab,Chandigarh,0,2.99
47,Renault,Kwid,Base,Hatchback,2016,9,78302,Diesel,Manual,Second Owner,5,1077,66.5,87.4,14.9,White,1,Comprehensive,Full Service History,Individual,0,Maharashtra,Nagpur,0,2.51
48,BMW,X5,Mid,SUV,2021,4,65267,Petrol,Automatic,Fourth & Above Owner,5,1953,127.3,186.3,18.0,Red,7,Expired,Partial Service History,Individual,1,Telangana,Hyderabad,1,22.76
49,Hyundai,i10,Mid,Hatchback,2009,16,240435,Petrol,Automatic,Second Owner,5,1191,84.2,116.9,16.2,White,2,Expired,Partial Service History,Company,0,Gujarat,Surat,0,0.9
50,Mahindra,XUV500,Base,SUV,2014,11,191030,Petrol,Automatic,First Owner,5,1745,120.1,177.8,15.3,White,5,Comprehensive,Full Service History,Individual,0,Kerala,Kochi,0,3.46
51,Renault,Kwid,Mid,Hatchback,2012,13,212533,Petrol,Manual,Second Owner,5,1299,109.1,152.4,17.0,Green,2,Comprehensive,Full Service History,Individual,0,Karnataka,Mysore,0,1.37
52,Honda,WR-V,Top,SUV,2018,7,110029,Petrol,Automatic,Second Owner,7,1278,87.8,138.6,17.4,Grey,3,Expired,Full Service History,Individual,0,Karnataka,Bangalore,1,6.57
53,Volkswagen,Vento,Base,Sedan,2019,6,79108,CNG,Automatic,Second Owner,5,1366,102.1,141.6,19.4,Green,6,Third Party,Full Service History,Company,0,Punjab,Chandigarh,0,4.71
54,Toyota,Fortuner,Mid,SUV,2019,6,81405,Diesel,Automatic,First Owner,5,1883,119.5,156.4,18.5,White,4,Third Party,Full Service History,Individual,0,Tamil Nadu,Chennai,1,7.66
55,Renault,Duster,Base,SUV,2007,18,177946,Petrol,Manual,First Owner,5,1023,63.8,91.5,13.8,Silver,1,Comprehensive,Partial Service History,Individual,0,Tamil Nadu,Chennai,1,0.8
56,Maruti,Swift,Mid,Hatchback,2013,12,129838,Petrol,Manual,Second Owner,5,1191,88.9,134.8,22.1,Red,1,Comprehensive,Partial Service History,Individual,2,Karnataka,Mysore,0,1.5
57,Maruti,Celerio,Mid,Hatchback,2006,19,212968,Petrol,Manual,Second Owner,5,879,66.8,105.9,18.5,Black,2,Comprehensive,Partial Service History,Individual,2,Punjab,Chandigarh,0,0.62
58,Skoda,Kushaq,Top,SUV,2022,3,36249,Petrol,Manual,First Owner,5,1712,139.7,184.1,16.5,Silver,3,Comprehensive,Full Service History,Individual,0,Tamil Nadu,Chennai,1,12.83
59,Toyota,Fortuner,Mid,SUV,2007,18,196080,Petrol,Manual,First Owner,5,1702,103.3,147.5,17.2,White,4,Expired,Full Service History,Individual,1,Delhi,Delhi,1,1.47
60,Skoda,Kushaq,Base,SUV,2009,16,161237,Petrol,Manual,First Owner,7,1396,95.2,146.1,21.0,White,4,Comprehensive,Partial Service History,Individual,0,West Bengal,Kolkata,1,2.09
61,Mercedes,C-Class,Top,Sedan,2008,17,217631,Petrol,Manual,First Owner,5,2677,172.7,263.8,18.8,Silver,6,Comprehensive,Full Service History,Company,1,Uttar Pradesh,Noida,0,7.1
62,Skoda,Octavia,Mid,Sedan,2020,5,52216,Diesel,Manual,First Owner,5,1459,117.6,186.6,20.6,Black,4,Third Party,Full Service History,Individual,1,West Bengal,Kolkata,1,7.62
63,Maruti,Ertiga,Mid,MUV,2020,5,78229,Diesel,Manual,Second Owner,7,924,59.1,77.0,22.8,Black,1,Third Party,Full Service History,Company,0,Delhi,Delhi,1,3.86
64,Tata,Nexon,Base,SUV,2007,18,198485,Petrol,Manual,Second Owner,5,1008,60.7,83.4,17.7,White,3,Expired,Partial Service History,Individual,1,Tamil Nadu,Chennai,1,0.56
65,Ford,EcoSport,Top,SUV,2007,18,216750,Diesel,Manual,Second Owner,5,1352,105.6,141.3,21.1,Red,4,Comprehensive,Partial Service History,Individual,0,Karnataka,Bangalore,1,1.72
66,Hyundai,Venue,Base,SUV,2012,13,182301,Petrol,Automatic,First Owner,5,1122,75.0,117.1,18.1,White,1,Comprehensive,Full Service History,Individual,0,Telangana,Hyderabad,1,1.53
67,Mercedes,C-Class,Top,Sedan,2007,18,280000,CNG,Manual,First Owner,5,2185,155.7,207.2,23.6,Silver,7,Expired,Partial Service History,Individual,1,Karnataka,Bangalore,1,4.6
68,Mercedes,GLA,Base,SUV,2014,11,102114,Petrol,Manual,First Owner,7,2013,148.8,207.0,17.6,Grey,5,Third Party,Partial Service History,Individual,0,Tamil Nadu,Chennai,1,14.25
69,Nissan,Magnite,Base,SUV,2007,18,280000,Diesel,Manual,Second Owner,7,1001,70.8,103.6,18.3,Red,3,Comprehensive,Partial Service History,Individual,0,Tamil Nadu,Chennai,1,0.7
70,Honda,Amaze,Base,Sedan,2020,5,61725,Petrol,Manual,First Owner,5,1301,80.1,109.3,19.2,Green,4,Comprehensive,Full Service History,Company,0,West Bengal,Kolkata,1,6.77
71,Kia,Sonet,Mid,SUV,2005,20,197518,Petrol,Manual,First Owner,7,1365,86.3,126.1,13.3,Blue,3,Expired,Full Service History,Individual,0,Rajasthan,Udaipur,0,1.13
72,Hyundai,Verna,Mid,Sedan,2022,3,43827,Diesel,Manual,Second Owner,5,1137,95.9,133.7,17.7,Silver,1,Comprehensive,Partial Service History,Company,0,Uttar Pradesh,Noida,0,5.11
73,Tata,Punch,Mid,SUV,2014,11,131599,Petrol,Automatic,Second Owner,7,1226,87.9,137.1,18.5,White,2,Comprehensive,Full Service History,Individual,1,Gujarat,Ahmedabad,0,2.08
74,Honda,Jazz,Base,Hatchback,2016,9,168164,Diesel,Manual,Fourth & Above Owner,5,2018,166.9,229.1,19.9,White,3,Third Party,Full Service History,Individual,0,Karnataka,Mysore,0,3.28
75,Mahindra,Scorpio,Base,SUV,2016,9,66732,Diesel,Manual,First Owner,5,1972,123.9,190.1,26.5,Grey,5,Comprehensive,Partial Service History,Individual,1,Delhi,Delhi,1,4.47
76,Honda,Jazz,Mid,Hatchback,2012,13,212353,Petrol,Automatic,Second Owner,5,1704,129.1,186.3,15.2,Black,4,Comprehensive,Partial Service History,Individual,0,Telangana,Hyderabad,1,2.73
77,Hyundai,Aura,Mid,Sedan,2020,5,62579,Petrol,Manual,Third Owner,5,891,67.5,97.7,17.1,Silver,2,Third Party,Full Service History,Individual,0,Karnataka,Bangalore,1,3.68
78,Tata,Tiago,Mid,Hatchback,2013,12,83752,CNG,Manual,First Owner,5,1207,99.2,138.8,25.9,Green,1,Expired,Full Service History,Company,0,Delhi,Delhi,1,1.63
79,Tata,Nexon,Mid,SUV,2008,17,252030,Petrol,Manual,Second Owner,7,874,59.6,94.5,12.9,Silver,2,Comprehensive,Full Service History,Individual,0,Maharashtra,Nagpur,0,0.77
80,Tata,Tiago,Top,Hatchback,2005,20,247417,Petrol,Manual,First Owner,5,1095,82.3,120.2,20.1,White,2,Third Party,Full Service History,Individual,1,Maharashtra,Pune,1,0.66
81,Hyundai,Santro,Mid,Hatchback,2016,9,110812,Diesel,Manual,First Owner,5,1099,75.3,117.9,23.0,Brown,3,Comprehensive,Full Service History,Individual,0,Rajasthan,Udaipur,0,2.6
82,Renault,Duster,Mid,SUV,2008,17,238587,Petrol,Manual,First Owner,7,1148,86.5,122.0,17.0,White,3,Third Party,Full Service History,Company,1,Delhi,Delhi,1,0.83
83,Honda,WR-V,Top,SUV,2013,12,139749,Diesel,Manual,Second Owner,5,1323,85.6,120.6,19.9,White,2,Comprehensive,Full Service History,Individual,0,Karnataka,Mysore,0,3.45
84,Mahindra,XUV500,Limited Edition,SUV,2023,2,19019,Diesel,Manual,First Owner,5,1476,111.3,157.2,19.4,Blue,5,Comprehensive,Full Service History,Company,0,Punjab,Chandigarh,0,15.45
85,Kia,Seltos,Top,SUV,2021,4,57221,Petrol,Manual,First Owner,7,1331,107.0,170.7,16.6,Red,3,Comprehensive,Partial Service History,Individual,2,Tamil Nadu,Coimbatore,0,9.1
86,Toyota,Innova,Limited Edition,MUV,2014,11,104913,Diesel,Automatic,First Owner,7,1343,114.1,148.9,22.2,White,4,Comprehensive,Full Service History,Individual,0,Madhya Pradesh,Indore,0,5.92
87,Honda,City,Mid,Sedan,2011,14,127506,Diesel,Automatic,First Owner,5,1274,91.9,128.7,14.5,Brown,4,Comprehensive,Full Service History,Individual,0,Karnataka,Bangalore,1,3.09
88,Mahindra,Scorpio,Mid,SUV,2010,15,129702,Diesel,Automatic,Third Owner,5,1439,115.2,156.8,18.0,Blue,4,Comprehensive,Partial Service History,Individual,2,West Bengal,Kolkata,1,2.08
89,BMW,3 Series,Base,Sedan,2009,16,162745,CNG,Automatic,Second Owner,5,1939,157.0,231.7,22.9,Silver,5,Comprehensive,Partial Service History,Individual,0,West Bengal,Kolkata,1,6.6
90,Volkswagen,Vento,Base,Sedan,2008,17,155849,Diesel,Manual,First Owner,5,1536,128.6,182.8,18.9,Grey,4,Expired,No Record,Individual,0,Karnataka,Mysore,0,1.49
91,Kia,Sonet,Base,SUV,2015,10,172896,Petrol,Manual,Third Owner,7,1844,143.0,219.9,15.1,White,4,Third Party,Partial Service History,Individual,0,Maharashtra,Pune,1,2.87
92,Audi,A4,Top,Sedan,2015,10,124744,Petrol,Automatic,First Owner,5,2799,224.7,296.6,17.3,Silver,7,Comprehensive,Full Service History,Individual,0,Madhya Pradesh,Indore,0,23.8
93,Maruti,Celerio,Base,Hatchback,2011,14,61748,Petrol,Manual,Second Owner,5,1078,79.5,103.8,16.1,White,1,Third Party,Full Service History,Individual,1,Kerala,Trivandrum,0,1.18
94,Nissan,Kicks,Mid,SUV,2023,2,17742,Petrol,Manual,First Owner,5,988,80.3,122.3,15.6,Blue,3,Comprehensive,Partial Service History,Individual,0,Delhi,Delhi,1,6.39
95,Tata,Punch,Limited Edition,SUV,2010,15,190131,CNG,Manual,First Owner,5,1189,77.2,115.6,18.3,Black,3,Comprehensive,No Record,Individual,0,Maharashtra,Nagpur,0,1.17
96,Honda,Jazz,Limited Edition,Hatchback,2016,9,84386,Petrol,Manual,Second Owner,5,1783,130.1,205.7,16.4,Grey,4,Comprehensive,Full Service History,Individual,0,Karnataka,Mysore,0,5.22
97,Kia,Carens,Base,MUV,2020,5,70526,Diesel,Manual,First Owner,7,1381,88.1,123.3,24.1,White,4,Comprehensive,Partial Service History,Individual,0,Madhya Pradesh,Indore,0,6.48
98,Skoda,Rapid,Top,Sedan,2006,19,196171,Petrol,Automatic,First Owner,5,1257,104.0,150.3,21.3,White,5,Third Party,Full Service History,Individual,0,Maharashtra,Nagpur,0,1.64
99,Hyundai,Aura,Base,Sedan,2019,6,56964,Electric,Manual,Second Owner,5,1117,91.2,142.1,6.7,White,1,Comprehensive,Partial Service History,Individual,0,Madhya Pradesh,Indore,0,4.16
100,Volkswagen,Polo,Base,Hatchback,2022,3,38800,Petrol,Manual,First Owner,5,1524,106.8,167.3,17.3,Blue,5,Comprehensive,No Record,Individual,2,Madhya Pradesh,Indore,0,6.6
101,Maruti,Celerio,Limited Edition,Hatchback,2017,8,97307,Petrol,Automatic,Second Owner,5,1048,66.5,95.8,15.8,White,2,Comprehensive,Full Service History,Company,0,Maharashtra,Pune,1,3.24
102,Tata,Tiago,Top,Hatchback,2011,14,165665,Petrol,Automatic,First Owner,5,1144,86.0,112.0,17.4,Brown,1,Expired,Full Service History,Individual,0,Telangana,Hyderabad,1,1.78
103,Kia,Seltos,Mid,SUV,2022,3,34113,Petrol,Automatic,First Owner,7,1608,97.5,145.3,14.6,White,4,Comprehensive,Full Service History,Company,0,West Bengal,Kolkata,1,10.82
104,Honda,Jazz,Mid,Hatchback,2014,11,107371,Petrol,Automatic,First Owner,5,1350,87.7,136.2,16.4,Grey,5,Comprehensive,Full Service History,Individual,1,Maharashtra,Pune,1,4.35
105,Ford,Endeavour,Mid,SUV,2014,11,131430,Petrol,Manual,Third Owner,5,1595,131.4,202.2,18.4,White,4,Comprehensive,Full Service History,Individual,0,Karnataka,Mysore,0,2.94
106,Mahindra,Thar,Mid,SUV,2010,15,189419,Petrol,Manual,First Owner,5,1650,109.9,165.5,15.0,Black,5,Comprehensive,Partial Service History,Company,2,Telangana,Hyderabad,1,2.12
107,Kia,Carens,Limited Edition,MUV,2023,2,30190,Diesel,Automatic,Second Owner,7,1963,164.9,244.4,19.5,Grey,5,Third Party,Partial Service History,Individual,3,Delhi,Delhi,1,12.43
108,Mahindra,XUV500,Base,SUV,2012,13,141482,Petrol,Automatic,First Owner,7,1289,84.6,130.0,15.6,Black,3,Comprehensive,Full Service History,Individual,0,Kerala,Kochi,0,2.96
109,Maruti,Celerio,Top,Hatchback,2013,12,152596,Petrol,Manual,First Owner,5,1225,93.7,137.4,18.5,Green,4,Comprehensive,Partial Service History,Individual,0,Madhya Pradesh,Bhopal,0,2.06
110,Renault,Triber,Limited Edition,MUV,2015,10,99815,Diesel,Manual,First Owner,7,1056,73.1,104.9,20.6,White,3,Comprehensive,No Record,Individual,0,West Bengal,Kolkata,1,2.72
111,Honda,Amaze,Base,Sedan,2016,9,51999,Petrol,Manual,First Owner,5,1513,102.5,163.6,17.4,Blue,5,Third Party,Full Service History,Company,0,Karnataka,Bangalore,1,3.96
112,Maruti,Baleno,Mid,Hatchback,2018,7,41699,Diesel,Manual,First Owner,5,1067,67.0,101.0,19.6,Silver,2,Expired,Partial Service History,Company,0,Maharashtra,Pune,1,2.92
113,Toyota,Innova,Base,MUV,2010,15,222474,Petrol,Manual,Second Owner,7,1564,127.9,185.6,16.5,Red,5,Comprehensive,Partial Service History,Individual,0,Delhi,Delhi,1,1.66
114,Ford,Figo,Mid,Hatchback,2006,19,280000,Petrol,Manual,First Owner,5,1604,114.7,182.3,16.2,Silver,6,Comprehensive,Partial Service History,Individual,0,Telangana,Hyderabad,1,1.16
115,Kia,Carens,Base,MUV,2011,14,169458,Petrol,Manual,Second Owner,7,1233,97.4,137.4,20.2,Silver,4,Comprehensive,Full Service History,Company,0,Punjab,Ludhiana,0,2.02
116,Mercedes,C-Class,Base,Sedan,2006,19,187536,Petrol,Automatic,Second Owner,5,2128,180.7,271.7,15.9,Silver,4,Comprehensive,Full Service History,Individual,0,Telangana,Hyderabad,1,5.76
117,Hyundai,Aura,Base,Sedan,2008,17,168230,Petrol,Manual,Second Owner,5,1046,84.5,120.3,16.3,Silver,1,Comprehensive,Full Service History,Individual,0,Karnataka,Bangalore,1,0.91
118,Hyundai,Santro,Base,Hatchback,2010,15,233025,Petrol,Manual,Second Owner,5,955,57.7,86.3,19.4,Blue,1,Expired,Full Service History,Company,0,Tamil Nadu,Coimbatore,0,0.81
119,Volkswagen,Polo,Top,Hatchback,2012,13,121860,Diesel,Manual,Second Owner,5,911,66.8,91.7,17.2,Black,3,Third Party,No Record,Individual,0,Maharashtra,Nagpur,0,2.75
120,Hyundai,Creta,Top,SUV,2018,7,105388,Petrol,Manual,First Owner,5,1134,82.4,120.9,16.7,White,3,Comprehensive,Full Service History,Individual,0,Karnataka,Bangalore,1,3.78
121,Hyundai,i10,Top,Hatchback,2016,9,133863,Diesel,Manual,First Owner,5,1009,69.7,104.8,21.6,White,1,Comprehensive,Partial Service History,Individual,0,Rajasthan,Udaipur,0,2.93
122,Ford,Endeavour,Mid,SUV,2019,6,61366,Diesel,Automatic,Third Owner,5,1416,118.8,179.1,22.4,Black,3,Expired,Full Service History,Company,0,Telangana,Hyderabad,1,6.28
123,Hyundai,Creta,Limited Edition,SUV,2008,17,264966,Diesel,Manual,First Owner,7,1188,88.3,134.9,23.4,Silver,3,Third Party,Full Service History,Individual,0,Madhya Pradesh,Bhopal,0,1.08
124,Mahindra,Thar,Base,SUV,2018,7,78866,Petrol,Manual,Third Owner,5,1781,138.0,217.6,15.1,Red,3,Expired,Full Service History,Individual,0,Madhya Pradesh,Bhopal,0,4.35
125,Nissan,Magnite,Base,SUV,2021,4,39463,CNG,Manual,First Owner,5,1263,97.9,142.4,25.0,Blue,2,Third Party,Partial Service History,Individual,0,Rajasthan,Udaipur,0,3.56
126,Maruti,WagonR,Top,Hatchback,2016,9,87526,Petrol,Automatic,Second Owner,5,1012,75.6,103.9,18.2,White,1,Third Party,Full Service History,Individual,0,Uttar Pradesh,Noida,0,2.82
127,Toyota,Glanza,Top,Hatchback,2019,6,103552,Petrol,Manual,Third Owner,5,2019,159.6,213.8,18.4,Black,2,Comprehensive,Partial Service History,Individual,0,Maharashtra,Pune,1,6.67
128,Kia,Sonet,Base,SUV,2021,4,49224,Petrol,Automatic,First Owner,5,1251,96.9,151.4,16.6,Green,5,Expired,No Record,Individual,1,West Bengal,Kolkata,1,6.37
129,Jeep,Compass,Top,SUV,2015,10,146838,Diesel,Automatic,First Owner,7,2388,200.0,286.9,21.0,Grey,4,Comprehensive,Partial Service History,Individual,0,Gujarat,Ahmedabad,0,19.22
130,Tata,Tiago,Mid,Hatchback,2015,10,60998,Diesel,Manual,First Owner,5,1067,68.9,99.9,17.5,Blue,1,Comprehensive,No Record,Individual,0,Maharashtra,Nagpur,0,2.07
131,Hyundai,Santro,Mid,Hatchback,2012,13,59628,Petrol,Manual,First Owner,5,1172,73.0,97.9,18.4,Brown,3,Comprehensive,Partial Service History,Individual,0,Madhya Pradesh,Indore,0,1.68
132,Nissan,Magnite,Top,SUV,2020,5,59744,Diesel,Manual,Second Owner,5,1216,96.4,144.2,20.0,White,5,Expired,No Record,Individual,0,Madhya Pradesh,Bhopal,0,3.44
133,BMW,3 Series,Top,Sedan,2021,4,60262,Petrol,Automatic,Third Owner,5,2579,215.7,320.7,15.8,White,6,Expired,Full Service History,Individual,0,Madhya Pradesh,Bhopal,0,31.99
134,Hyundai,i20,Mid,Hatchback,2019,6,85380,Diesel,Manual,Third Owner,5,1434,114.0,148.3,17.1,Grey,3,Comprehensive,Partial Service History,Company,0,Kerala,Trivandrum,0,3.12
135,Honda,City,Mid,Sedan,2021,4,49721,CNG,Automatic,First Owner,5,1367,83.5,123.7,26.9,Green,5,Comprehensive,Full Service History,Individual,0,Uttar Pradesh,Noida,0,8.49
